TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Honda City 5th (GM2) Generation 2018 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 40.5 lacs,2018,"85,600 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11205022
Suzuki Spacia  2020 Gear Hybrid XZ for Sale,PKR 33 lacs,2020,"49,000 km",Hybrid,660 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/suzuki-spacia-2020-for-sale-in-sialkot-11205017
Honda City  2000 EXi for Sale,PKR 9.6 lacs,2000,"170,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2000-for-sale-in-karachi-11205002
Honda City  2007 i-DSI for Sale,PKR 22 lacs,2007,"192,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-lahore-11204973
Honda City  2008 i-DSI for Sale,PKR 19.75 lacs,2008,"166,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2008-for-sale-in-lahore-11204968
Honda City 6th Generation 2022 1.5L ASPIRE CVT for Sale,PKR 49 lacs,2022,"68,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-gujranwala-11204967
Toyota Corolla  2014 XLi VVTi for Sale,PKR 31.25 lacs,2014,"200,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-rawalpindi-11204965
Honda City  2012 1.3 i-VTEC for Sale,PKR 23.5 lacs,2012,"150,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-city-2012-for-sale-in-lahore-11204944
Honda Civic  2013 VTi Oriel 1.8 i-VTEC for Sale,PKR 33.35 lacs,2013,"90,000 km",Petrol,1800 cc,Manual,page 1,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-karachi-11204910
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,PKR 38.9 lacs,2018,"52,000 km",Petrol,1300 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-11204900
Toyota Vitz  2006 B 1.0 for Sale,PKR 17.5 lacs,2006,"48,000 km",Petrol,1000 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-vitz-2006-for-sale-in-karachi-11204881
Honda City 5th (GM2) Generation 2018 1.5 i-VTEC Prosmatec for Sale,PKR 38.75 lacs,2018,"68,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-11047408
Toyota Corolla  2009 XLi VVTi Limited Edition for Sale,PKR 25.9 lacs,2009,"115,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-11204869
Honda City 5th (GM2) Generation 2011 1.3 i-VTEC for Sale,PKR 24.65 lacs,2011,"197,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-gujranwala-11181431
Honda N One  2018 Premium SS Brown Style Package for Sale,PKR 27.9 lacs,2018,"95,000 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-n-one-2018-for-sale-in-multan-11204679
Honda City  2025 1.2L CVT for Sale,Call,2025,"13,000 km",Petrol,1200 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-karachi-11204696
Honda Vezel  2016 Hybrid Z Honda Sensing  for Sale,PKR 45.5 lacs,2016,"110,000 km",Hybrid,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-vezel-2016-for-sale-in-lahore-11202820
Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,PKR 34 lacs,2014,"60,150 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-islamabad-11204564
Honda City  2013 Aspire 1.5 i-VTEC for Sale,PKR 32.5 lacs,2013,"119,000 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-islamabad-11141377
Honda Vezel  2015 Hybrid Z for Sale,PKR 46 lacs,2015,"85,000 km",Hybrid,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-11188635
Honda City  2024 1.2L CVT for Sale,PKR 47.75 lacs,2024,"40,000 km",Petrol,1200 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-islamabad-11150349
Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 37.8 lacs,2016,"88,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-islamabad-11204481
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel UG Prosmatec 1.6 for Sale,PKR 20.4 lacs,2005,"245,480 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11204433
Honda City  2017 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 39.5 lacs,2017,"132,500 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-islamabad-11133943
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 40.8 lacs,2019,"37,500 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-gujrat-11204419
Mitsubishi Ek Wagon  2007  for Sale,PKR 16.5 lacs,2007,"16,700 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2007-for-sale-in-lahore-11204868
Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,PKR 26.5 lacs,2014,"216,910 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-11204802
Honda City  2006 VTEC Steermatic for Sale,PKR 20.75 lacs,2006,"117,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-rawalpindi-11204836
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,PKR 34.8 lacs,2018,"70,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-11204824
Honda City  2006 i-DSI Vario for Sale,PKR 20.75 lacs,2006,"116,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-lahore-11189508
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale,PKR 29.5 lacs,2016,"92,500 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11204834
Honda City  2018 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 40.8 lacs,2018,"95,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11197426
Honda City  2014 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 32.25 lacs,2014,"173,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-karachi-11203299
Honda City  2006 i-DSI Vario for Sale,PKR 15 lacs,2006,"110,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2006-for-sale-in-lahore-11204804
Honda City  2005 i-DSI for Sale,PKR 17.5 lacs,2005,"100,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-lahore-11204784
Daihatsu Tanto  2022 X Turbo for Sale,PKR 31.8 lacs,2022,"24,413 km",Petrol,660 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/daihatsu-tanto-2022-for-sale-in-karachi-11024630
MG HS  2021 Trophy for Sale,PKR 59 lacs,2021,"99,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-islamabad-11204739
Honda City  2014 Aspire 1.5 i-VTEC for Sale,PKR 33.25 lacs,2014,"85,000 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-islamabad-11204748
Honda City 6th Generation 2022 1.2L CVT for Sale,PKR 44.5 lacs,2022,"55,000 km",Petrol,1200 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-sialkot-11204701
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 38 lacs,2018,"94,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11204730
Honda City  2014 1.3 i-VTEC for Sale,PKR 28.95 lacs,2014,"157,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-gujranwala-11176895
Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 30.5 lacs,2012,"134,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2012-for-sale-in-islamabad-11204724
Honda City  2015 1.3 i-VTEC for Sale,PKR 29.5 lacs,2015,"116,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-islamabad-11204562
Honda City  2018 1.5 i-VTEC for Sale,PKR 36.75 lacs,2018,"78,900 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-11203945
Honda City  2016 Aspire 1.3 i-VTEC for Sale,PKR 34 lacs,2016,"150,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11204685
Honda City  2002  for Sale,PKR 12.8 lacs,2002,"100,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-city-2002-for-sale-in-hyderabad-11204678
Honda City  2017 1.3 i-VTEC Prosmatec for Sale,PKR 36.9 lacs,2017,"121,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-islamabad-11185057
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,PKR 28 lacs,2013,"154,009 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-islamabad-11167813
Honda Civic  2009 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 22.9 lacs,2009,"220,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-lahore-11204309
Honda City 5th (GM2) Generation 2021 1.3 i-VTEC Prosmatec for Sale,PKR 43 lacs,2021,"60,404 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-11032700
Honda City  2007 i-DSI for Sale,PKR 18.5 lacs,2007,"182,909 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-lahore-10805704
KIA Sportage  2021 AWD for Sale,PKR 68.75 lacs,2021,"64,412 km",Petrol,2000 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-11204183
Toyota Vitz  2013 F 1.0 for Sale,PKR 32.5 lacs,2013,"84,000 km",Petrol,1000 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-lahore-11204261
Honda City  2021  for Sale,PKR 40.7 lacs,2021,"75,000 km",Petrol,1200 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-11201836
Honda City 5th (GM2) Generation 2010 1.3 i-VTEC for Sale,PKR 26.75 lacs,2010,"175,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-islamabad-11204237
Honda City  2024 1.2L CVT for Sale,PKR 47.8 lacs,2024,"27,800 km",Petrol,1200 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-lahore-11204091
Honda City  2024 1.5L ASPIRE CVT for Sale,PKR 53.5 lacs,2024,"9,200 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-karachi-11147318
Toyota Aqua  2015 S LED Soft Leather Selection for Sale,PKR 43.95 lacs,2015,"123,000 km",Hybrid,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-aqua-2015-for-sale-in-islamabad-11179974
Honda City  2018 1.3 i-VTEC for Sale,PKR 37.95 lacs,2018,"74,323 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11147536
Suzuki Liana  2007 RXi for Sale,PKR 13.5 lacs,2007,"126,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-liana-2007-for-sale-in-karachi-11204647
Honda City  2008 i-DSI for Sale,PKR 18.7 lacs,2008,"128,500 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2008-for-sale-in-multan-11204546
Honda City 6th Generation 2025 1.5L CVT for Sale,PKR 57.75 lacs,2025,"1,040 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-karachi-11204431
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 45.5 lacs,2019,"32,968 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-11204607
Suzuki Cultus  2010 VXRi for Sale,PKR 13.5 lacs,2010,"19,000 km",Petrol,1000 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-sargodha-11204600
Honda City 6th Generation 2024 1.2L CVT for Sale,PKR 46.5 lacs,2024,"15,000 km",Petrol,1200 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-karachi-11204591
Honda City 5th (GM2) Generation 2014 1.3 i-VTEC for Sale,PKR 34 lacs,2014,"60,150 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-islamabad-11204564
Honda Civic  2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31 lacs,2013,"125,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-islamabad-11204559
Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,PKR 31.75 lacs,2015,"155,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-lahore-11204397
Honda City  2024 1.2L CVT for Sale,PKR 47.4 lacs,2024,"31,550 km",Petrol,1200 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-islamabad-11204554
Suzuki Mehran  2011 VX (CNG) for Sale,PKR 6.9 lacs,2011,"87,000 km",Petrol,800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-mehran-2011-for-sale-in-karachi-11167966
Honda City  2018 1.5 i-VTEC Prosmatec for Sale,PKR 37.9 lacs,2018,"124,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-11204543
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 35.9 lacs,2018,"103,800 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-chakwal-11204538
Honda City  2013 Aspire 1.5 i-VTEC for Sale,PKR 32.5 lacs,2013,"119,000 km",Petrol,1500 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-islamabad-11141377
Honda Vezel  2015 Hybrid Z for Sale,PKR 46 lacs,2015,"85,000 km",Hybrid,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-11188635
Honda City  2024 1.2L CVT for Sale,PKR 47.75 lacs,2024,"40,000 km",Petrol,1200 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-islamabad-11150349
Honda City 5th (GM2) Generation 2015 Aspire Prosmatec 1.3 i-VTEC for Sale,PKR 36.9 lacs,2015,"135,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-islamabad-11128236
Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 37.8 lacs,2016,"88,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-islamabad-11204481
Suzuki Wagon R  2020 VXL for Sale,PKR 26.99 lacs,2020,"58,500 km",Petrol,1000 cc,Manual,page 3,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-lahore-11204472
Honda City  2017 Aspire 1.5 i-VTEC for Sale,PKR 33 lacs,2017,"75,000 km",Petrol,1500 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-karachi-11198915
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel UG Prosmatec 1.6 for Sale,PKR 20.4 lacs,2005,"245,480 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11204433
Honda City  2017 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 39.5 lacs,2017,"132,500 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-islamabad-11133943
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,PKR 40.8 lacs,2019,"37,500 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-gujrat-11204419
Honda City 6th Generation 2021 1.2L M/T for Sale,PKR 41.9 lacs,2021,"35,000 km",Petrol,1200 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-11177884
Honda City  2007 i-DSI for Sale,PKR 21.75 lacs,2007,"120,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-rawalpindi-11204017
Honda City 6th Generation 2025 1.2L CVT for Sale,PKR 50 lacs,2025,"3,090 km",Petrol,1200 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-lahore-11203755
Honda City 6th Generation 2022 1.5L ASPIRE CVT for Sale,PKR 51.5 lacs,2022,"19,436 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-rawalpindi-11203931
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44.75 lacs,2019,"56,335 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-11129052
Honda City  2003 EXi for Sale,PKR 12.5 lacs,2003,"56,134 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2003-for-sale-in-multan-11109100
Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 41.1 lacs,2015,"151,000 km",Hybrid,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-11116905
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale,PKR 33.9 lacs,2016,"154,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-lahore-11197344
Honda City  2018 1.3 i-VTEC Prosmatec for Sale,PKR 36.4 lacs,2018,"94,000 km",Petrol,1300 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-islamabad-11203856
Honda City 6th Generation 2024 1.5L ASPIRE CVT for Sale,PKR 57.5 lacs,2024,"59,000 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2024-for-sale-in-islamabad-11118541
Honda City 5th (GM2) Generation 2017 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 37.5 lacs,2017,"110,000 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-islamabad-11183713
Honda City 6th Generation 2021 1.5L ASPIRE CVT for Sale,PKR 53.75 lacs,2021,"18,060 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-11190710
Toyota Corolla  1982 GL for Sale,PKR 8.5 lacs,1982,"100,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-1982-for-sale-in-islamabad-11204389
Honda City  2005 i-DSI for Sale,PKR 16 lacs,2005,"175,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-gujrat-11204362
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,PKR 28 lacs,2013,"154,009 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-islamabad-11167813
Honda Civic  2009 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 22.9 lacs,2009,"220,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-lahore-11204309
Honda City  2005 i-DSI for Sale,PKR 22 lacs,2005,"185,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2005-for-sale-in-islamabad-11204322
Suzuki FX  1988 GA for Sale,PKR 3.85 lacs,1988,"23,000 km",Petrol,800 cc,Manual,page 4,https://www.pakwheels.com/used-cars/suzuki-fx-1988-for-sale-in-lahore-11204310
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 33.1 lacs,2018,"128,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-11204297
Honda City 5th (GM2) Generation 2021 1.3 i-VTEC Prosmatec for Sale,PKR 43 lacs,2021,"60,404 km",Petrol,1300 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-11032700
Honda City  2007 i-DSI for Sale,PKR 18.5 lacs,2007,"182,909 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2007-for-sale-in-lahore-10805704
Honda City  2021 1.3 i-VTEC for Sale,PKR 38.8 lacs,2021,"92,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-islamabad-11204247
Subaru Stella  2014 G Smart Assist for Sale,PKR 23 lacs,2014,"78,000 km",Petrol,660 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/subaru-stella-2014-for-sale-in-islamabad-11106768
Toyota Aqua  2013 S for Sale,PKR 38 lacs,2013,"100,000 km",Hybrid,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-aqua-2013-for-sale-in-islamabad-11204266
KIA Sportage  2021 AWD for Sale,PKR 68.75 lacs,2021,"64,412 km",Petrol,2000 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-11204183
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,PKR 38.75 lacs,2019,"97,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-islamabad-11204260
