TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 49 lacs,2016,"100,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11202161
Honda Civic 11th Generation 2025 Oriel for Sale,PKR 86.5 lacs,2025,"9,803 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-islamabad-11163660
Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 29.9 lacs,2009,"91,000 km",Petrol,1800 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-11191024
Honda Civic  1996 VTi 1.6 for Sale,PKR 22.75 lacs,1996,"135,000 km",Petrol,1600 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-civic-1996-for-sale-in-islamabad-11063147
Honda Vezel  2015 Hybrid Z for Sale,PKR 46 lacs,2015,"85,000 km",Hybrid,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-11188635
Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 34.5 lacs,2014,"69,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-11204388
Honda Civic  2022 1.5 VTEC Turbo Oriel for Sale,PKR 73 lacs,2022,"118,272 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-faisalabad-11126688
Honda Civic 7th Generation (Facelift) 2004 VTi 1.6 for Sale,PKR 17.5 lacs,2004,"180,000 km",Petrol,1600 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-islamabad-11048388
Honda Civic Reborn 2011 VTi Oriel 1.8 i-VTEC for Sale,PKR 23.5 lacs,2011,"10,000 km",Petrol,1800 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-sahiwal-11204653
Honda Civic  2018 1.8 i-VTEC CVT for Sale,PKR 26 lacs,2018,"100,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-hayatabad-11204651
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.8 lacs,2019,"96,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-islamabad-11204587
Toyota Prius  2020 PHV (Plug In Hybrid) for Sale,PKR 95 lacs,2020,"35,000 km",PHEV,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-prius-2020-for-sale-in-islamabad-11093710
Honda Civic 11th Generation 2022 Oriel for Sale,PKR 84 lacs,2022,"33,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-11204629
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.95 lacs,2018,"94,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11126761
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 67.95 lacs,2021,"47,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-vehari-11204595
Honda Civic Rebirth 2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 44.5 lacs,2016,"74,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11179703
Honda Civic  2004 VTi Prosmatec 1.6 for Sale,PKR 17 lacs,2004,"154,506 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-lahore-11204561
Honda Civic Reborn 2009 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 22.8 lacs,2009,"200,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-lahore-11202854
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 51.9 lacs,2018,"99,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11204571
Honda Civic  2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 31 lacs,2013,"125,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-islamabad-11204559
Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 33.9 lacs,2015,"76,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-rahim-yar-khan-11204528
Honda Civic  2002 VTi Oriel 1.6 for Sale,PKR 16.5 lacs,2002,"144,000 km",Petrol,1600 cc,Manual,page 2,https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-gujranwala-11204517
Honda Civic  2016 Oriel Prosmatec UG for Sale,PKR 42 lacs,2016,"83,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11124599
Honda Civic 11th Generation 2024 RS for Sale,PKR 89 lacs,2024,"57,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2024-for-sale-in-gujranwala-11204400
Honda Civic 11th Generation 2025 Oriel for Sale,PKR 85.5 lacs,2025,"11,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-lahore-11019570
Honda Civic 7th Generation (Facelift) 2005 VTi Oriel UG Prosmatec 1.6 for Sale,PKR 20.4 lacs,2005,"245,480 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11204433
Honda Civic 11th Generation 2025 Oriel for Sale,PKR 86.5 lacs,2025,"31,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-islamabad-11102175
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 49.5 lacs,2016,"68,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11121479
Honda Civic  2016 Turbo 1.5 VTEC CVT for Sale,PKR 54.5 lacs,2016,"105,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11142930
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 61.8 lacs,2021,"80,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-11194090
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 58.5 lacs,2018,"196,249 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11204300
Honda Civic  2009 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 22.9 lacs,2009,"220,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-lahore-11204309
Honda Civic  2005 VTi 1.6 for Sale,PKR 17 lacs,2005,"272,427 km",Petrol,1500 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-islamabad-11072799
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 58.5 lacs,2017,"31,715 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-peshawar-11016238
Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 34.5 lacs,2014,"69,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-11204388
Honda Civic  2020 1.5 RS Turbo for Sale,PKR 69.8 lacs,2020,"68,000 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-10937232
Honda Civic  2022 1.5 VTEC Turbo Oriel for Sale,PKR 73 lacs,2022,"118,272 km",Petrol,1500 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-faisalabad-11126688
Honda Civic  2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 38.5 lacs,2013,"95,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-11201711
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.5 lacs,2017,"135,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11163787
Honda Civic 6th Generation 1998 VTi 1.6 for Sale,PKR 12.5 lacs,1998,"150,000 km",Petrol,1600 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-1998-for-sale-in-peshawar-11204454
Honda Civic  2010 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 26.5 lacs,2010,"135,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-lahore-11118432
Honda Civic Reborn 2007 VTi 1.8 i-VTEC for Sale,PKR 20.5 lacs,2007,"169,000 km",Petrol,1800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-2007-for-sale-in-gujranwala-11204418
Honda Civic  2003 VTi 1.6 for Sale,PKR 14.3 lacs,2003,"192,000 km",Petrol,1600 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-2003-for-sale-in-lahore-11204406
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 47.75 lacs,2016,"110,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-islamabad-11199607
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.4 lacs,2019,"70,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-hyderabad-11204387
Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 23 lacs,2009,"98,000 km",Petrol,1800 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-dera-ismail-khan-11204371
Honda Civic  1993  for Sale,PKR 10 lacs,1993,"12,222 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-1993-for-sale-in-multan-11204364
Honda Civic  2004 VTi 1.6 for Sale,PKR 13.8 lacs,2004,"300,000 km",Petrol,1600 cc,Manual,page 3,https://www.pakwheels.com/used-cars/honda-civic-2004-for-sale-in-lahore-11204336
Honda Civic  2017 Turbo 1.5 VTEC CVT for Sale,PKR 48.45 lacs,2017,"110,000 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11044521
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 52 lacs,2019,"90,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11199031
Honda Civic  2020 1.5 VTEC Turbo Oriel for Sale,PKR 64.5 lacs,2020,"65,000 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-11104774
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 65.25 lacs,2021,"62,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-10903370
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.5 lacs,2019,"85,042 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-10990249
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 53 lacs,2017,"103,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11204160
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 61.75 lacs,2020,"84,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-islamabad-10903497
Honda Civic  2020 1.5 RS Turbo for Sale,PKR 64.95 lacs,2020,"82,300 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-11196790
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48.5 lacs,2017,"48,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10977496
Honda Civic 11th Generation 2022 Standard for Sale,PKR 70 lacs,2022,"54,268 km",Petrol,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-11204020
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 54 lacs,2018,"90,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-gujrat-11203302
Honda Civic  2017 1.8 i-VTEC CVT for Sale,PKR 48 lacs,2017,"125,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-11161799
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 58.5 lacs,2017,"31,715 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-peshawar-11016238
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 30 lacs,2013,"40,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-sadiqabad-11204274
Honda Civic  2021 1.8 i-VTEC CVT for Sale,PKR 64.5 lacs,2021,"50,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-jhang-11204220
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 52.7 lacs,2017,"72,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-lahore-11204208
Honda Civic Reborn 2011 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 26.95 lacs,2011,"127,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-faisalabad-11204200
Honda Civic  2001 VTi 1.6 for Sale,PKR 15.5 lacs,2001,"80,000 km",Petrol,1600 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-khanewal-11204197
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 34.9 lacs,2013,"128,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-sialkot-11204153
Honda Civic  1988 Oriel for Sale,PKR 6 lacs,1988,"200,000 km",Petrol,1300 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-civic-1988-for-sale-in-mian-channu-11201985
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 48.5 lacs,2017,"100,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-bahawalnagar-11202376
Honda Civic  2021 Oriel 1.8 i-VTEC CVT for Sale,PKR 65.25 lacs,2021,"74,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-chakwal-11204140
Honda Civic Reborn 2009 VTi 1.8 i-VTEC for Sale,PKR 22.75 lacs,2009,"172,568 km",Petrol,1800 cc,Manual,page 4,https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-11204141
Honda Civic  2017 1.8 i-VTEC CVT for Sale,PKR 42.5 lacs,2017,"41,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-11204127
MG HS  2025 PHEV for Sale,PKR 1.01 crore,2025,"19,800 km",PHEV,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/mg-hs-2025-for-sale-in-faisalabad-11204109
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 50.9 lacs,2017,"79,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11150484
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 54.5 lacs,2018,"63,930 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11193792
Honda Civic Rebirth 2015 Oriel Prosmatec UG for Sale,PKR 42 lacs,2015,"94,094 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-lahore-11112115
Honda Civic Rebirth 2016 Oriel Prosmatec UG for Sale,PKR 44.5 lacs,2016,"89,212 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-11063700
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.8 lacs,2018,"70,000 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11203723
Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,PKR 57 lacs,2017,"71,000 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-islamabad-11201257
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 58 lacs,2019,"63,327 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11091565
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 56.75 lacs,2018,"88,000 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-islamabad-11203733
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57.9 lacs,2019,"58,500 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-lahore-11203743
Honda Civic  2020 Oriel 1.8 i-VTEC CVT for Sale,PKR 60.55 lacs,2020,"91,000 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-11203693
Suzuki Every  2020 PA for Sale,PKR 26.6 lacs,2020,"36,945 km",Petrol,660 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/suzuki-every-2020-for-sale-in-karachi-11086917
Honda Civic  2018 Oriel 1.8 i-VTEC CVT for Sale,PKR 55.2 lacs,2018,"63,000 km",Petrol,1800 cc,Automatic,page 5,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11153689
