TITLE,PRICE,Year,Mileage,Fuel Type,Horsepower,Transmission,Page,Link
Toyota Corolla  2013 GLi 1.3 VVTi for Sale,PKR 27.8 lacs,2013,"90,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-11202555
Toyota Corolla  2018 GLi 1.3 VVTi for Sale,PKR 41 lacs,2018,"106,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-11202538
Toyota Corolla 9th (E120) Generation 2004 XLi for Sale,PKR 19.25 lacs,2004,"300,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2004-for-sale-in-sargodha-11202502
Toyota Corolla  2005 Altis Automatic 1.8 for Sale,PKR 27.5 lacs,2005,"247,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-mardan-11202498
Toyota Corolla  2015 Altis Automatic 1.6 for Sale,PKR 38.5 lacs,2015,"86,948 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-11202493
Toyota Corolla Axio  2008 G Kurashiko for Sale,PKR 37 lacs,2008,"205,000 km",Petrol,1500 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2008-for-sale-in-dera-ismail-khan-11202477
Toyota Corolla  2016 XLi VVTi for Sale,PKR 41 lacs,2016,"8,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-11202475
Toyota Corolla  2009 GLi 1.3 VVTi for Sale,PKR 20.5 lacs,2009,"132,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-hafizabad-11202467
Toyota Corolla  2014 XLi VVTi Limited Edition for Sale,PKR 27.5 lacs,2014,"95,600 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-11202460
Toyota Corolla  2020 Altis Automatic 1.6 for Sale,PKR 45.5 lacs,2020,"84,729 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-faisalabad-11202445
Toyota Corolla 9th (E120) Generation 2008 SE Saloon Automatic for Sale,PKR 20 lacs,2008,"100,000 km",Petrol,1600 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-attock-11202431
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 69.5 lacs,2021,"25,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-11202427
Hyundai Excel  1993 Basegrade for Sale,PKR 4.7 lacs,1993,"100,000 km",Petrol,1500 cc,Manual,page 1,https://www.pakwheels.com/used-cars/hyundai-excel-1993-for-sale-in-quetta-5881126
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,PKR 25 lacs,2012,"200,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-shuja-abad-11202408
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,PKR 36.5 lacs,2015,"104,000 km",Petrol,1300 cc,Manual,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-khanpur-11202406
Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 47 lacs,2015,"62,000 km",Petrol,1800 cc,Automatic,page 1,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-dera-ismail-khan-11202387
Toyota Corolla  2025 Altis 1.6 X CVT-i for Sale,PKR 66.25 lacs,2025,"2,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2025-for-sale-in-lahore-10735642
Toyota Corolla  2020 Altis Automatic 1.6 for Sale,PKR 54.75 lacs,2020,"65,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-11202049
Toyota Corolla  2009 XLi VVTi Limited Edition for Sale,PKR 27 lacs,2009,"178,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-11202097
Toyota Corolla Cross  2024 1.8 HEV X for Sale,PKR 88.5 lacs,2024,"5,600 km",Hybrid,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-islamabad-11117024
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 29.9 lacs,2014,"104,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-multan-11038472
Toyota Corolla  2012 XLi VVTi for Sale,PKR 31.95 lacs,2012,"95,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-sargodha-11153385
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 74.5 lacs,2023,"12,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-lahore-11198240
Toyota Corolla Cross  2021 Hybrid Z for Sale,PKR 78 lacs,2021,"56,441 km",Hybrid,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2021-for-sale-in-islamabad-11044297
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,PKR 54 lacs,2020,"71,512 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-11136336
Toyota Corolla  2021 Altis Automatic 1.6 for Sale,PKR 55 lacs,2021,"37,001 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-11110766
Toyota Corolla  2024 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 77 lacs,2024,"14,119 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2024-for-sale-in-multan-10994695
Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 48 lacs,2015,"116,762 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-11145828
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 67.5 lacs,2022,"65,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-bahawalpur-11181477
Toyota Corolla  2012 GLi Automatic 1.6 VVTi for Sale,PKR 34.25 lacs,2012,"182,115 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-mardan-11202382
Toyota Corolla  2013 GLi Automatic 1.6 VVTi for Sale,PKR 27 lacs,2013,"53,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2013-for-sale-in-lahore-11202381
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,PKR 47.5 lacs,2019,"113,050 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-11202379
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 57.5 lacs,2018,"57,500 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-jhang-11169060
Toyota Corolla  1982  for Sale,PKR 13.5 lacs,1982,"200,000 km",Petrol,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-1982-for-sale-in-karachi-11202357
Toyota Corolla  2015 GLi 1.3 VVTi for Sale,PKR 43.5 lacs,2015,"24,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-11202334
Toyota Corolla  2014 Altis SR Cruisetronic 1.6 for Sale,PKR 36.5 lacs,2014,"95,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-lahore-11202335
Toyota Corolla  2012 GLi 1.3 VVTi for Sale,PKR 29.7 lacs,2012,"172,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-jauharabad-11202329
Toyota Corolla  2009 XLi VVTi for Sale,PKR 22.3 lacs,2009,260 km,Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-rawalpindi-11202325
Toyota Corolla  2022 Altis 1.6 X CVT-i Special Edition for Sale,PKR 62.5 lacs,2022,"50,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-sheikhupura-11201875
Toyota Corolla  2016 GLi 1.3 VVTi for Sale,PKR 34.5 lacs,2016,"136,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-multan-11202316
Toyota Corolla  2021 Altis X Automatic 1.6 for Sale,PKR 53.02 lacs,2021,"21,000 km",Petrol,1598 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-11202306
Toyota Corolla  2011 GLi Automatic 1.6 VVTi for Sale,PKR 29.5 lacs,2011,"148,000 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-karachi-11202305
Toyota Corolla  2019 Altis Grande CVT-i 1.8 for Sale,PKR 51 lacs,2019,"72,000 km",Petrol,1800 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11202293
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,PKR 43 lacs,2019,"64,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11202284
Toyota Corolla  2018 XLi VVTi for Sale,PKR 36.5 lacs,2018,"140,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-shorkot-11202277
Toyota Corolla  2000  for Sale,PKR 13.2 lacs,2000,"300,000 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2000-for-sale-in-sargodha-11202282
Toyota Corolla  2016 GLi Automatic 1.3 VVTi for Sale,PKR 41.5 lacs,2016,"132,000 km",Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-11202274
Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,PKR 58 lacs,2020,1 km,Petrol,1300 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-11202273
Toyota Corolla 9th (E120) Generation 2003 GLi 1.3 for Sale,PKR 19 lacs,2003,"95,000 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2003-for-sale-in-peshawar-11202265
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,PKR 38.5 lacs,2017,"83,210 km",Petrol,1600 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-11201956
Toyota Corolla  2012 XLi VVTi for Sale,PKR 32.85 lacs,2012,"115,500 km",Petrol,1300 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-karachi-11192385
Toyota Corolla Axio  2014  for Sale,PKR 40 lacs,2014,135 km,Hybrid,1500 cc,Automatic,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2014-for-sale-in-karachi-11057360
Toyota Corolla 8th (E110) Generation 2000 SE Limited for Sale,PKR 13.2 lacs,2000,"300,000 km",Petrol,1500 cc,Manual,page 2,https://www.pakwheels.com/used-cars/toyota-corolla-2000-for-sale-in-kot-momin-11202218
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 71.5 lacs,2021,"1,700 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-11201824
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 62 lacs,2023,"37,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-karachi-11172802
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 58.9 lacs,2018,"52,500 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-sialkot-11200385
Toyota Corolla  2015 XLi VVTi for Sale,PKR 37.75 lacs,2015,"60,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-11201709
Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,PKR 47.9 lacs,2016,"90,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-lahore-11201693
Toyota Corolla  2019 Altis Automatic 1.6 for Sale,PKR 46.5 lacs,2019,"180,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-11198449
Toyota Corolla  2019 XLi Automatic for Sale,PKR 43.5 lacs,2019,"145,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-lahore-11201670
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 38 lacs,2017,"91,450 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-11110412
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 70 lacs,2022,"45,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-kharian-11196976
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,PKR 63.25 lacs,2020,"68,200 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-islamabad-11201547
Toyota Corolla  2015 Altis Automatic 1.6 for Sale,PKR 47.5 lacs,2015,"30,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-faisalabad-11141187
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale,PKR 47 lacs,2019,"99,164 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11181870
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 30.5 lacs,2011,"208,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-islamabad-11202216
Toyota Corolla  2020 GLi 1.3 VVTi for Sale,PKR 45 lacs,2020,"80,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-11202208
Toyota Corolla  2018 XLi Automatic for Sale,PKR 37.5 lacs,2018,"110,000 km",Petrol,1300 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-sargodha-11202202
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 52 lacs,2018,"106,500 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-multan-11201678
Toyota Corolla  2011 XLi VVTi for Sale,PKR 26 lacs,2011,"300,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-hyderabad-11202198
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 74 lacs,2022,"8,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-islamabad-11202181
Toyota Corolla  2009 GLi 1.3 VVTi for Sale,PKR 27.5 lacs,2009,"160,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-abbottabad-11202165
Toyota Corolla  2007 Altis Automatic 1.8 for Sale,PKR 34.5 lacs,2007,"115,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2007-for-sale-in-kharian-11202151
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,PKR 45 lacs,2017,"139,752 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-11014989
Toyota Corolla  2019 XLi VVTi for Sale,PKR 36 lacs,2019,"132,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-11202146
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 63 lacs,2021,"69,889 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-11198450
Toyota Corolla  2025 Altis 1.6 X CVT-i for Sale,PKR 66.25 lacs,2025,"2,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2025-for-sale-in-lahore-10735642
Toyota Corolla  2020 GLi 1.3 VVTi for Sale,PKR 48.5 lacs,2020,"95,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-attock-11202120
Toyota Corolla  2020 Altis Automatic 1.6 for Sale,PKR 54.75 lacs,2020,"65,000 km",Petrol,1600 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-lahore-11202049
Toyota Corolla  2009 XLi VVTi Limited Edition for Sale,PKR 27 lacs,2009,"178,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-lahore-11202097
Toyota Corolla 9th (E120) Generation 2008 XLi for Sale,PKR 25.25 lacs,2008,"200,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-rawalpindi-11202096
Toyota Corolla Cross  2024 1.8 HEV X for Sale,PKR 88.5 lacs,2024,"5,600 km",Hybrid,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-islamabad-11117024
Toyota Corolla  2019 GLi 1.3 VVTi Special Edition for Sale,PKR 43.5 lacs,2019,"87,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-sukkur-11202070
Toyota Corolla  2014 GLi 1.3 VVTi for Sale,PKR 29.9 lacs,2014,"104,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-multan-11038472
Toyota Corolla  2011 GLi 1.3 VVTi for Sale,PKR 34.5 lacs,2011,"145,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-rawalpindi-11202057
Toyota Corolla  2010 XLi VVTi for Sale,PKR 25.8 lacs,2010,"290,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-islamabad-11202050
Toyota Corolla  1980  for Sale,PKR 8.3 lacs,1980,"260,000 km",Petrol,2000 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-1980-for-sale-in-charsadda-11202046
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale,PKR 59.75 lacs,2022,"56,000 km",Petrol,1598 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-gujranwala-11202034
Toyota Corolla  2012 XLi VVTi for Sale,PKR 31.95 lacs,2012,"95,000 km",Petrol,1300 cc,Manual,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-sargodha-11153385
Toyota Corolla  2023 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 74.5 lacs,2023,"12,000 km",Petrol,1800 cc,Automatic,page 3,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-lahore-11198240
Toyota Corolla  2014 Altis Automatic 1.6 for Sale,PKR 38 lacs,2014,"161,000 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-lahore-11201535
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 63.5 lacs,2021,"59,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-multan-11201479
Toyota Corolla Cross  2024 Hybrid Z for Sale,PKR 80 lacs,2024,"52,000 km",Hybrid,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-karachi-11201488
Toyota Corolla  2017 Altis Grande CVT-i 1.8 for Sale,PKR 56 lacs,2017,"31,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-11201430
Toyota Corolla  2024 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 74.25 lacs,2024,"22,700 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2024-for-sale-in-islamabad-11201388
Toyota Corolla  2012 Altis SR Cruisetronic 1.6 for Sale,PKR 35.5 lacs,2012,"83,000 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-lahore-11175519
Toyota Corolla  2020 Altis Automatic 1.6 for Sale,PKR 50 lacs,2020,"62,000 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-11201333
Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58 lacs,2022,"58,000 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-vehari-10957445
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 59.95 lacs,2021,"88,000 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-lahore-11179524
Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 44 lacs,2015,"258,212 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-11201198
Toyota Corolla Axio  2016 Hybrid 1.5 for Sale,PKR 55 lacs,2016,"246,000 km",Hybrid,1500 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2016-for-sale-in-lahore-11198528
Toyota Corolla  2017 Altis Automatic 1.6 for Sale,PKR 47 lacs,2017,"117,241 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-lahore-11145420
Toyota Corolla Cross  2021 Hybrid Z for Sale,PKR 78 lacs,2021,"56,441 km",Hybrid,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2021-for-sale-in-islamabad-11044297
Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,PKR 54 lacs,2020,"71,512 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-11136336
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale,PKR 48 lacs,2018,"101,576 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-11201953
Toyota Corolla  2021 Altis Automatic 1.6 for Sale,PKR 55 lacs,2021,"37,001 km",Petrol,1600 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-11110766
Toyota Corolla  2024 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 77 lacs,2024,"14,119 km",Petrol,1800 cc,Automatic,page 4,https://www.pakwheels.com/used-cars/toyota-corolla-2024-for-sale-in-multan-10994695
